ranking,num,data,name,score
1,(3783人评分),"
                         26话 /  1998年10月23日 / 渡辺信一郎 / 矢立肇 / 川元利浩                    ",星际牛仔,9.1
2,(2395人评分),"
                         26话 /  2004年1月1日 / 神山健治 / 士郎正宗                    ",攻壳机动队 S.A.C. 2nd GIG,9.1
3,(3094人评分),"
                         26话 /  2002年10月1日 / 神山健治 / 士郎正宗 / 下村一                    ",攻壳机动队 STAND ALONE COMPLEX,9.0
4,(8386人评分),"
                         26话 /  1995年10月4日 / 庵野秀明 / GAINAX / 貞本義行                    ",新世纪福音战士,9.0
5,(7208人评分),"
                         24话 /  2008年10月2日 / 石原立也 / Key、Visual Art's / 池田和美                    ",CLANNAD ～AFTER STORY～,8.9
6,(6600人评分),"
                         51话 /  2011年4月4日                    ",银魂',8.9
7,(2461人评分),"
                          1995年11月18日 / 押井守 / 士郎正宗 / 沖浦啓之                    ",攻壳机动队,8.9
8,(6184人评分),"
                         201话 /  2006年4月4日 / 高松信司 / 空知英秋 / 竹内進二                    ",银魂,8.9
9,(4506人评分),"
                         101话 /  1993年10月16日 / 井上雄彦                    ",灌篮高手,8.8
10,(3801人评分),"
                          1997年7月19日                    ",新世纪福音战士剧场版 Air/真心为你,8.8
11,(4900人评分),"
                         24话 /  2014年10月9日                    ",白箱,8.8
12,(4557人评分),"
                         26话 /  2005年10月22日 / 長濵博史 / 馬越嘉彦                    ",虫师,8.7
13,(2024人评分),"
                         4话 /  1999年2月20日                    ",浪客剑心 追忆篇,8.8
14,(5925人评分),"
                         64话 /  2009年4月5日 / 入江泰浩 / 荒川弘（掲載 月刊『少年ガンガン』スクウェア・エニックス刊） / 菅野宏紀                    ",钢之炼金术师 FULLMETAL ALCHEMIST,8.7
15,(4785人评分),"
                          2009年6月27日                    ",福音战士新剧场版：破,8.7
16,(724人评分),"
                         110话 /  1988年1月8日 / 田中芳樹 / 本木久年(1期)、久米一成(2期)、清水恵蔵(3期～)                    ",银河英雄传说,8.8
17,(1887人评分),"
                         1话 /  2004年3月6日 / 押井守                    ",攻壳机动队2 无罪,8.6
18,(931人评分),"
                         14话 /  2008年1月7日 / 佐藤順一 / 天野こずえ / 古賀誠                    ",水星领航员 第三季,8.6
19,(1897人评分),"
                         162话 /  1940年2月10日 / 约瑟夫·巴伯拉 / 威廉·汉纳 / 特克斯·艾弗里 / Michael Lah                    ",猫和老鼠,8.6
20,(4419人评分),"
                          1999年10月20日 / 宇田鋼之介、志水淳児→境宗久→宮元宏彰 / 尾田栄一郎 / 小泉昇→久田和也                    ",海贼王,8.6
21,(3671人评分),"
                         27话 /  2007年4月1日                    ",天元突破 红莲螺岩,8.6
22,(1859人评分),"
                         1话 /  1998年2月28日 / 今敏 / 竹内義和                    ",蓝色恐惧,8.6
23,(6245人评分),"
                         1话 /  2010年2月6日 / 武本康弘 / 谷川流 / 池田晶子                    ",凉宫春日的消失,8.6
24,(1706人评分),"
                          1961年 / 万籁鸣、唐澄 / 西游记                    ",大闹天宫,8.6
ranking,num,data,name,score
1,(3783人评分),"
                         26话 /  1998年10月23日 / 渡辺信一郎 / 矢立肇 / 川元利浩                    ",星际牛仔,9.1
2,(2395人评分),"
                         26话 /  2004年1月1日 / 神山健治 / 士郎正宗                    ",攻壳机动队 S.A.C. 2nd GIG,9.1
3,(3094人评分),"
                         26话 /  2002年10月1日 / 神山健治 / 士郎正宗 / 下村一                    ",攻壳机动队 STAND ALONE COMPLEX,9.0
4,(8386人评分),"
                         26话 /  1995年10月4日 / 庵野秀明 / GAINAX / 貞本義行                    ",新世纪福音战士,9.0
5,(7208人评分),"
                         24话 /  2008年10月2日 / 石原立也 / Key、Visual Art's / 池田和美                    ",CLANNAD ～AFTER STORY～,8.9
6,(6600人评分),"
                         51话 /  2011年4月4日                    ",银魂',8.9
7,(2461人评分),"
                          1995年11月18日 / 押井守 / 士郎正宗 / 沖浦啓之                    ",攻壳机动队,8.9
8,(6184人评分),"
                         201话 /  2006年4月4日 / 高松信司 / 空知英秋 / 竹内進二                    ",银魂,8.9
9,(4506人评分),"
                         101话 /  1993年10月16日 / 井上雄彦                    ",灌篮高手,8.8
10,(3801人评分),"
                          1997年7月19日                    ",新世纪福音战士剧场版 Air/真心为你,8.8
11,(4900人评分),"
                         24话 /  2014年10月9日                    ",白箱,8.8
12,(4557人评分),"
                         26话 /  2005年10月22日 / 長濵博史 / 馬越嘉彦                    ",虫师,8.7
13,(2024人评分),"
                         4话 /  1999年2月20日                    ",浪客剑心 追忆篇,8.8
14,(5925人评分),"
                         64话 /  2009年4月5日 / 入江泰浩 / 荒川弘（掲載 月刊『少年ガンガン』スクウェア・エニックス刊） / 菅野宏紀                    ",钢之炼金术师 FULLMETAL ALCHEMIST,8.7
15,(4785人评分),"
                          2009年6月27日                    ",福音战士新剧场版：破,8.7
16,(724人评分),"
                         110话 /  1988年1月8日 / 田中芳樹 / 本木久年(1期)、久米一成(2期)、清水恵蔵(3期～)                    ",银河英雄传说,8.8
17,(1887人评分),"
                         1话 /  2004年3月6日 / 押井守                    ",攻壳机动队2 无罪,8.6
